nct_id,brief_title,description,brief_title_concepts_list,brief_summary_concepts_list,tot_subj_affected,tot_subj_risk,relevance,citationSum,citationAvg,briefTitlePageRankScore,briefTitleAndSummaryCombinedPageRankScore,brief_title_matched_count,brief_summary_matched_count
NCT02202967,Misoprostol for Small Bowel Ulcers and Obscure Bleeding Due to Aspirin or Nonsteroidal Antiinflammatory Drugs,"Anti-inflammatory tablets (non-steroidal anti-inflammatory drugs) continue to be used      commonly worldwide to relieve pain caused by arthritis. Likewise, aspirin is used by many      patients in order to prevent blood clots. Despite their desired benefits, these medicines can      cause internal bleeding from the digestive system. The source of this bleeding can be obvious      (overt), or obscure and thought to come from the small intestine. Obscure bleeding can show      as anemia due to lack of iron in the blood. Small intestine ulcers are now easily diagnosed      using an endoscope the size of a big pill (video capsule endoscopy). Small bowel ulcers are      not related to stomach acid and therefore do not heal using remedies usually taken to stop      acid formation. A different drug, misoprostol, consists of a chemical (prostaglandin) that is      usually lacking in patients using aspirin or anti-inflammatory drugs. Misoprostol is licenced      to heal stomach and duodenal ulcers in patients using these drugs. Our hypothesis is that      misoprostol might be effective in healing small bowel ulcers as suggested by pilot studies;      however, such works only included small numbers of patients, did not include control groups      and both patients and investigators knew the nature of the tablets used. To test this      hypothesis, we propose to compare misoprostol to a dummy tablet. The numbers of subjects to      be studied have been calculated using established statistical methods",C0003209;C0085174;C0021852;C0019080;C0004057;C0041582;C0013227,C0003212;C0003209;C0151971;C0021852;C0013295;C0033554;C0722425;C0302148;C0021852;C0085174;C0085174;C0085174;C0021852;C0085174;C0003864;C0011900;C0014243;C0014245;C0019080;C0019080;C0019080;C0004057;C0038351;C0004057;C0038351;C0043240;C0947630;C0025663;C0449416;C0002871;C0332219;C0041582;C0041582;C1552839;C0005767;C0013227;C0013227;C1273517;C1273517;C0302583;C0043240;C0013227;C0043240;C1273517;C0392366;C0003209;C0871633;C0233492;C1561528;C0013227;C0012238;C3244072;C1706074;C1522411;C1441792;C3272558,0,0,0,0,0,0.00819864,0.009841285,0,2
NCT02241044,Argon Plasma Coagulation for Bleeding Peptic Ulcers,"Background:      A second endoscopic method added to injection therapy is recommended for high-risk bleeding      peptic ulcers. Many endoscopic devices have been proved as useful hemostatic instruments,      whereas the hemostatic efficacy of argon plasma coagulation (APC) has not been widely      investigated.      Aim:      This study was designed to know whether additional APC treatment could influence the      hemostatic efficacy after endoscopic injection therapy in treating high-risk bleeding ulcers.      Methods:      From October 2010 to January 2012, eligible patients who had high-risk bleeding ulcers were      admitted to our hospital. They prospectively randomly underwent either APC therapy plus      distilled water injection or distilled water injection alone. Pantoprazole infusion was      conducted during the fasting period after endoscopy and orally for 8 weeks to encourage ulcer      healing. Episodes of rebleeding were retreated with endoscopic combination therapy. Patients      who did not benefit from retreatment underwent emergency surgery or transarterial      embolization (TAE).",C1879736;C0030920;C0019080,C0009429;C0444472;C0444472;C0333291;C0333291;C0790233;C0790233;C0030920;C0081876;C0013931;C0441509;C0376495;C0019120;C0019120;C0019120;C0087111;C0021485;C0021485;C0014245;C1546399;C0019080;C0184666;C0574032;C0025663;C0087111;C0015663;C0043240;C0543467;C0025663;C0032105;C0025344;C0947630;C0439044;C0041582;C0033036;C2948600;C0033036;C0033036;C4554108;C1550655;C0014245;C0014245;C0014245;C0014245;C0019080;C0776963;C0681290;C0870365,0,0,0,0,0,0.009729494,0.011477596,0,1
NCT03061604,RCT to Determine the Efficacy of Combining Hemospray With Medical Treatment in Acute Variceal Bleeding,"INTRODUCTION Acute variceal bleeding (AVB) is a severe complication of portal hypertension in      patients with liver cirrhosis. The primary therapy includes the administration of vasoactive      drugs, antibiotics and endoscopic therapy; preferably esophageal banding ligation (EBL)      and/or cyanoacrylate injection when bleeding occurs from gastric varices.      In this context, the idea is to assess ""Hemospray"" (Cook Medical, Winston-Salem, NC) as an      initial therapy in patients with massive bleeding as a temporary ""bridge"" until definitive      treatment could be instituted.      The data generated from the pilot study performed between Erasme hospital, ULB and TBRI ,      Cairo showed that adding Hemospray as early as possible in the management steps could      increase the bleeding control rate up to 95 % at 24 hours.      OBJECTIVE The primary efficacy objective of this study is to assess the efficacy of Hemospray      in combination with standard of care (SOC) medical treatment compared to the efficacy of SOC      in the Control Arm in patient with acute variceal bleeding in cirrhotic patient.      The primary safety objective of this study is to evaluate the safety of Hemospray when used      in combination with SOC compared to SOC in the Control Arm.      1.1. Secondary:        -  To evaluate the effect of timing of Hemospray treatment on the outcomes of bleeding           patients        -  To evaluate the adverse effects on both therapeutic regimens (SAEs and clinically           significant AEs).",C0087111;C0019080;C0199168;C1547229,C0020541;C0333279;C0149533;C2936643;C0023890;C1708063;C0017145;C0879626;C1533734;C0009566;C0003232;C0376636;C0021485;C3245481;C0087111;C0018017;C0018017;C0087111;C0018017;C0087111;C0019080;C0023690;C0019080;C0332149;C0019080;C0019080;C2945654;C0087111;C0185014;C0542559;C0199168;C0087111;C0205082;C0456378;C1518681;C1547229;C0013227;C0947630;C0947630;C0947630;C3245479;C1273517;C0446516;C0446516;C3539181;C3539181;C0087111;C0376495;C0776963;C0014245;C0011164;C0027627;C0220825;C0220825;C0220825;C1564718;C1564718,0,0,1,3,3,0.008701599,0.011411071,0,1
NCT01779713,Transcriptomic Signature of Vasospasm Consecutive to Sub-arachnoid Aneurismal Hemorrhage,"Rational: The main danger with intracranial aneurism is its rupture conjugated with      subarachnoid hemorrhage (SAH) occurrence. SAH is a severe pathology leading not only to      neurological but also extra cerebral disorders. The major cause of morbidity and mortality      when developing a SAH is the secondary development of a delayed cerebral ischemia consecutive      to a prolonged vasospasm of cerebral arteries. The understanding of the pathophysiological      mechanisms of SAH complication, such as vasospasm which is the more frequent, is essential.      Vasospasm is defined as a reversible shrinking of an artery lumen diameter in the      subarachnoid space, beginning generally between 4 and 12 days after the hemorrhage. Such a      vasospasm could have a huge clinical impact leading to delayed neurological ischemic      deficiency in 17 to 40 % of cases. Up to day, mechanisms involved in vasospasm occurrence are      not well described.      Disposing of well-established genetics and transcriptomics databases along with cerebral      ischemia and inflammation is essential to unravel the mechanisms leading to vasospasm      occurrence on SAH patients. It will enable researchers to better comprehend SAH pathology and      elaborate an efficient and individualized therapeutic strategy to SAH acute phase in order to      reduce the risk of vasospasm occurrence.      Aims: 1) Constitute DNA and RNA Biobank via blood proofing oh SAH patients 2) Constitute a      database grouping clinical and biological data 3) Look for genetic and transcriptomic early      markers via genomic approaches 4) Correlate these different markers with vasospasm occurrence      and clinical evolution of the patients      Study: Patients inclusion will be done following their admission (D1) in the "" unité de      réanimation neurochirurgicale"" of Pitié-Salpètrière Hospital. After obtaining of the informed      consent, blood proofing will be realized daily during 12 days: one daily 2.5ml tube for the      transcriptomic study and a single 10ml EDTA tube for genetic analyses. Clinical and      biological follow-up will be performed as usual.      200 patients will be initially included during 2 to 3 years for the transcriptomic study of      which 1/3 will develop vasospastic complication. The transcriptomic study will thus be      performed by comparing patients developing or not developing this complication      Expected Results: Unravel vasospasm early genetic markers.",C0019080;C1519316;C0085616;C0003707,C0038525;C0917798;C0007770;C0600223;C0162340;C0524466;C0009566;C0021368;C0009566;C0009566;C0243107;C0019080;C0677042;C0012634;C0220880;C0027627;C0085616;C0085616;C0085616;C0085616;C0085616;C0242356;C0085616;C0677042;C0085616;C0085616;C0184666;C0085616;C0006104;C0006104;C0022116;C0679199;C0242356;C3272565;C1517001;C3203359;C0205082;C0003842;C0562342;C0087136;C0005767;C0947630;C0005767;C0947630;C0947630;C0947630;C3245479;C0175730;C0013618;C0175730;C1561538;C0087111;C2948499;C1550655;C2707261;C2707261;C0020621;C4684637;C0005516;C0005516;C2825142;C0376650;C1548762;C1548762;C0679560;C0562357;C0002957;C1101725;C0221874;C1522411;C3272565;C0022116;C3841798;C3272565;C3272565;C2363670;C0277785;C0017313;C0003707;C0151872,0,0,0,0,0,0.007647205,0.010076724,0,1
NCT00625248,Prospective Evaluation of Bleeding Risk of Anticoagulant and Anti-platelet Therapy,This study will evaluate bleeding risk and differences in outcomes in patients receiving and      not receiving anticoagulant or antiplatelet therapy,C0003280;C0220825;C0019080;C0087111,C1096021;C0003280;C0019080;C0947630;C0085632;C0220825,0,0,0,3,1.5,0.009351415,0.014195036,0,0
NCT02303964,Pre-Hospital Use of Plasma for Traumatic Hemorrhage,"~     Type A Thawed Plasma (TP) will be compared in polytrauma patients who receive only Normal~     Saline (NS) (standard of care) before arrival at the hospital.~      The purpose of this study is to determine if prehospital administration of thawed plasma can~     reduce mortality of patients who have lost a large amount of blood due to their injuries,~     compared to those receiving standard of care.~   ",C0019080;C0032105,C0032105;C0032105;C0005767;C3845829,0,0,1,3,1.5,0.012774492,0.013776575,0,0
NCT00709046,High Dose Versus Standard Dose Proton Pump Inhibitor (PPI) in High-risk Bleeding Peptic Ulcers After Combined Endoscopic Treatment,The study was designed to evaluate the efficacy an adjuvant use of standard dose or high dose      of proton pump inhibitor after combined endoscopic hemostasis therapy.,C0358591;C0030920;C0014245;C0087111;C2828392;C0019080;C4321237;C4321237,C0358591;C0740166;C2828392;C0087111;C0947630;C0014245;C0220825,0,0,1,7,7,0.008501465,0.012718945,0,0
NCT00519519,Optimal Dose of Omeprazole After Endoscopic Treatment of Bleeding Peptic Ulcers,Bleeding peptic ulcers are one of the major causes of morbidity and mortality for hospital      emergency admissions.The initial treatment is endoscopic therapy followed by intravenous      omeprazole. However the optimal dosage of omeprazole is not known. We conducted this study to      find out the optimal dosage in such clinical scenario.,C0030920;C0028978;C0014245;C0087111;C0019080,C0030920;C0184666;C0028978;C0028978;C0220880;C1546399;C0087111;C0019080;C0087111;C0947630;C0014245;C3272565,0,0,1,3,3,0.008599337,0.011599765,0,0
NCT02150447,Female Sex is an Independent Predictor of Death and Bleeding Among Fibrinolytic Treated Patients With AMI,The aim of this study is the effect of proton pump inhibitor (PPI) with respect to gastric      cancer bleeding in inoperable patients.,C0796382;C0358591;C0019080,C0358591;C0019080;C0038351;C1518681;C0006826;C0947630,0,0,0,2,2,0.009289841,0.011475542,0,0
NCT00215618,Uterine Balloon Treatment for Heavy Period Bleeding.,The purpose of this research is to determine the proportion of women who achieve permanent      cessation of bleeding after Uterine Balloon Therapy (UBT) for the treatment of heavy uterine      bleeding.,C0025323;C0087111;C0019080;C0042149;C0004704,C0087111;C0019080;C0019080;C0042149;C0004704;C0087111;C0042149;C4082977,0,0,1,1,1,0.007611955,0.011116398,0,0
NCT01410591,TIPS With 8- OR 10-mm Covered Stent for Preventing Variceal Rebleeding,The purpose of this study is to determine whether transjugular intrahepatic portosystemic      shunt (TIPS) with 10-mm covered stent is associated with lower shunt dysfunction in comparing      TIPS with 8-mm covered stent in cirrhotic patients with at least one episode of variceal      bleeding.,C0038257;C0019080,C0277785;C0019080;C0947630;C0542331;C0038257;C0542331;C0038257;C0339897;C4082977,0,0,0,3,3,0.012173229,0.011105334,0,0
NCT00251979,A Study to Prevent Rebleeding After Initial Successful Primary Endoscopic Haemostasis of a Bleeding Peptic Ulcer,This study is being carried out to see if constant 3 days infusion of Nexium is effective in      preventing rebleeding after an endoscopic treatment.,C0030920;C0014245;C0019080;C0947630;C0740166;C0019080;C0012082,C0087111;C0574032;C0699809;C0939400;C0947630;C0042789;C0014245;C0019080,708,64537,1,30,7.5,0.008222936,0.011027901,0,0
NCT01783899,Clinical Evaluation of Hemospray in Hemostasis of Active Variceal Bleeding,The objective of this study is to assess the effectiveness of Hemospray in achieving initial      hemostasis and decreased rate of re-bleeding in patients of acute variceal bleeding.,C4084924;C0740166;C0019080;C0718247,C4553491;C0740166;C0018017;C0442797;C0019080;C0019080;C0947630,0,0,0,14,14,0.007707748,0.011000532,0,0
NCT01863706,Misoprostol Versus Oxytocin for Prevention of Post Partum Hemorrhage,Post partum Hemorrhage (PPH) is one of three main causes of death in pregnant women. Oxytocin      is widely used for prevention of PPH. Some studies suggested misoprostol as an alternative      treatment when Oxytocin isn't available. The aim of this study is to compare the safety and      efficacy of Oxytocin and misoprostol for prevention of PPH.,C0085174;C0199176;C0019080;C0030095;C1955347,C0007465;C0085174;C0085174;C0019080;C0199176;C0199176;C0087111;C0549206;C0030095;C0030095;C0030095;C0947630;C0947630;C1273517,0,0,1,2,2,0.007635834,0.010971497,0,0
